     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      3345,         4,         0,   0.010,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":4}"
      5120,         2,         0,   0.015,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":2}"
      3345,        14,         0,   0.012,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":14}"
      6144,         1,         0,   0.018,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":1}"
      4096,        11,         0,   0.013,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":11}"
      9216,         8,         0,   0.025,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":8}"
      6144,        10,         0,   0.021,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":10}"
      4369,         0,         0,   0.011,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}",
      8192,        25,         0,   0.027,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":25}"
     14336,        10,         0,   0.037,pymatching,288a33a222fdbef8e8cc4b35b4b8e4ce51357f819f528475f4da6da6378319f8,"{""d"":3,""p"":0.00021544346900318845,""r"":3}","{""obs_mistake_mask=E"":10}"
      6144,         0,         0,   0.014,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}",
       273,       128,         0,   0.021,pymatching,5688a7fc23594f5d8cfd0bc2d38a4cc066502532987cabbcffd308342f0b9b2e,"{""d"":3,""p"":0.021544346900318822,""r"":3}","{""obs_mistake_mask=E"":128}"
      1297,       100,         0,   0.012,pymatching,38817c10fcc2cbe99b55f645fb7df7b88bedbf2cb13471008c8414212ea25f9f,"{""d"":3,""p"":0.002154434690031882,""r"":3}","{""obs_mistake_mask=E"":100}"
      5120,         3,         0,   0.021,pymatching,a8c4d6b6c78cc7050c7b8f8ba37d92ce0e84753760df9864165fe3505fc9b0f0,"{""d"":3,""p"":0.0001,""r"":3}","{""obs_mistake_mask=E"":3}"
      2321,        22,         0,   0.017,pymatching,cc68fe9d5eeb0b380df195e77fe345f7d7592c717e43cb0f856fa6bf73fe20e3,"{""d"":3,""p"":0.001,""r"":3}","{""obs_mistake_mask=E"":22}"
      2048,       123,         0,   0.016,pymatching,38817c10fcc2cbe99b55f645fb7df7b88bedbf2cb13471008c8414212ea25f9f,"{""d"":3,""p"":0.002154434690031882,""r"":3}","{""obs_mistake_mask=E"":123}"
     12288,        40,         0,   0.038,pymatching,849d68d2aae0742c7eb87cd4e60d6f3daf52eefd4b69764cfba18626d9a3b899,"{""d"":3,""p"":0.00046415888336127773,""r"":3}","{""obs_mistake_mask=E"":40}"
      3072,        56,         0,   0.017,pymatching,cc68fe9d5eeb0b380df195e77fe345f7d7592c717e43cb0f856fa6bf73fe20e3,"{""d"":3,""p"":0.001,""r"":3}","{""obs_mistake_mask=E"":56}"
